"Activity Name","Service Provider Name","Service Provider Email Address","Contact Number","Contact Email",Category(s),"Age Group(s)","Reporting Region","Number of active referrals","Number of times details viewed",ICP,PCN,"Activity Post Code","Service Provider Post Code",Active,Link
"Sunrise Pathfinder Club","New Addington Seventh Day Adventist Church",webteam@croydonadventist.org,,sunriseclub1@yahoo.com,"Youth Social Groups","Under 16",,0,143,,,"CR0 0DL","CR0 0JB",1,https://croydon.simplyconnect.uk/activities/df548ac0-6383-11ea-8863-4b2d54a20551/sunrise-pathfinder-club
"Sunrise Adventurer Club","New Addington Seventh Day Adventist Church",webteam@croydonadventist.org,07403772126,sunriseclub1@yahoo.com,"Youth Social Groups","0-5, Under 16",,0,144,,,"CR0 0DL","CR0 0JB",1,https://croydon.simplyconnect.uk/activities/7e99d4d0-6383-11ea-8766-ffed7c7467a2/sunrise-adventurer-club
"Sunday Worship","Emmanuel Church",office@emmanuelcroydon.org.uk,02086886676,office@emmanuelcroydon.org.uk,"Faith Groups","16-21, 21-65, 50+",,0,26,,,"CR2 7AF","CR2 7AF",1,https://croydon.simplyconnect.uk/activities/76388c20-5c77-11ed-bad3-cb84f6b17bd5/sunday-worship
"Sunday Foodbank - Food Parcels in the Bensham Manor Area","BMCA Queens Community Centre",queens.hall2019@outlook.com,"07956 548707",queens.hall2019@outlook.com,"Food Banks",,,0,490,,,"CR0 2NP","CR0 2NP",1,https://croydon.simplyconnect.uk/activities/58043960-4461-11eb-9adb-d56913ae59d2/sunday-foodbank-food-parcels-in-the-bensham-manor-area
"Sunday 11th July Volunteer Day - Addiscombe Railway Park","Friends of Addiscombe Railway Park",parkfriends@addiscombe.net,,parkfriends@addiscombe.net,Volunteering,,,0,16,,,"CR0 6NE","CR0 6NP",1,https://croydon.simplyconnect.uk/activities/2032dc20-dd74-11eb-a4f1-9de27b4779fd/sunday-11th-july-volunteer-day-addiscombe-railway-park
"Summer University for young people aged 16-25 years old wanting to get into work","Palace for Life Foundation",admin@palaceforlife.org,,admin@palaceforlife.org,"Youth Social Groups","16-21, 21-65",,0,167,,,"SE25 6PU","SE25 6PU",1,https://croydon.simplyconnect.uk/activities/75e68ec0-ee02-11eb-91dd-03548382d3ba/summer-university-for-young-people-aged-16-25-years-old-wanting-to-get-into-work
"Summer Season -  Monday South","Grow Wild Outreach",oconnolly@growwild.life,07779960099,oconnolly@growwild.life,"Exercise & Outdoor Activities",,,0,62,,,"CR6 9DN","CR6 9DN",1,https://croydon.simplyconnect.uk/activities/66fc55a0-e663-11ec-a22a-8fdef9ec7f80/summer-season-monday-south
"Summer Project","JAGS Foundation",admin@jagsfoundation.org,"07506 168377",admin@jagsfoundation.org,"Youth Social Groups","Under 16",,0,8,,,"SW16 3SB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/06b93040-f5e4-11eb-bb3b-5da347dc9c3f/summer-project
"Summer Holiday Camp 2022","Aim High Dance Academy",info@aimhighacademy.co.uk,07904313603,info@aimhighacademy.co.uk,"Holiday & Respite","Under 16",,0,99,,,"SE25 4PT","SE25 4PT",1,https://croydon.simplyconnect.uk/activities/e5a46960-0e61-11ed-8a5f-b19d88053686/summer-holiday-camp-2022
"Summer Camp 2021","Aim High Dance Academy",info@aimhighacademy.co.uk,"07904 313 603",info@aimhighacademy.co.uk,"Exercise & Outdoor Activities","Under 16",,0,22,,,"CR0 6RX","SE25 4PT",1,https://croydon.simplyconnect.uk/activities/f4dd9e70-fe80-11eb-8b3a-5b683990628f/summer-camp-2021
"Summer Activity: Train to become a Relationship  Influencer","Bromley and Croydon Women's Aid",info@bcwa.org.uk,"07432 151442",lizzie.b@bcwa.org.uk,"Youth Social Groups","16-21, 21-65",,0,89,,,"CR0 1UF","CR0 2JB",1,https://croydon.simplyconnect.uk/activities/260cf670-ead7-11eb-84b0-3d618237e73c/summer-activity-train-to-become-a-relationship-influencer
"Summer Activity:  Visual Arts & Performing Arts Club for Children 5  - 11","Upper Norwood Library Hub",info@unlt.org,"020 8670 4321",info@unlt.org,"Holiday & Respite","Under 16",,0,148,,,"SE19 1TJ","SE19 1TJ",1,https://croydon.simplyconnect.uk/activities/5e8f4900-00f8-11ed-b117-e78edb930218/summer-activity-visual-arts-performing-arts-club-for-children-5-11
"Summer Activities: Summer Camp for Young People aged 10 - 18 years","Project 4 Youth Empowerment",info@p4ye.co.uk,07727277431,info@p4ye.co.uk,"Holiday & Respite",,,0,570,,,"CR0 1TY","CR0 2BX",1,https://croydon.simplyconnect.uk/activities/07c74a20-01ea-11ed-9662-fb7715e667ee/summer-activities-summer-camp-for-young-people-aged-10-18-years
"Summer Activities: South Croydon Summer Camp for children  and young people aged 5 - 16 years","Aim High Dance Academy",info@aimhighacademy.co.uk,07904313603,info@aimhighacademy.co.uk,"Holiday & Respite","Under 16",,0,89,,,"CR2 8PR","SE25 4PT",1,https://croydon.simplyconnect.uk/activities/345018d0-0e61-11ed-9553-b96d030f2ca4/summer-activities-south-croydon-summer-camp-for-children-and-young-people-aged-5-16-years
"Summer Activities: Selhurst Summer Camp for children and young people  5 - 16 years","Aim High Dance Academy",info@aimhighacademy.co.uk,07904313603,info@aimhighacademy.co.uk,"Holiday & Respite",,,0,70,,,"CR0 6BE","SE25 4PT",1,https://croydon.simplyconnect.uk/activities/caa15990-0e5f-11ed-be11-5dc7d7c77dae/summer-activities-selhurst-summer-camp-for-children-and-young-people-5-16-years
"Summer Activities: Saturday Art School for Children age 4 - 11","Floating Counselling",info@floatingcounselling.co.uk,"07305 882959",info@floatingcounselling.co.uk,"Holiday & Respite",,,0,118,,,"SE25 4DX","SE25 4DX",1,https://croydon.simplyconnect.uk/activities/f72dbdc0-fd21-11ec-9041-259a24650596/summer-activities-saturday-art-school-for-children-age-4-11
"Summer Activities: Music, DJ Workshop, Dance and Sports - Ages 8 - 17 years","White Hut Studios",info@whitehutstudios.com,07958181514,Miriam@Whitehutstudios.com,"Holiday & Respite",,,0,61,,,"CR0 9UG","CR0 9UG",1,https://croydon.simplyconnect.uk/activities/63747d30-0bfd-11ed-b4fe-73d718701842/summer-activities-music-dj-workshop-dance-and-sports-ages-8-17-years
"Summer Activities: Multi-sports, cooking,  performing & creative arts for young people 10 - 16 years","Reaching Higher",info@reachinghigher.org.uk,"020 8945 5560",info@reachinghigher.org.uk,"Holiday & Respite","Under 16",,0,130,,,"CR9 7AL","SE25 6ES",1,https://croydon.simplyconnect.uk/activities/57d346d0-fdd2-11ec-abd9-373987a8ca9b/summer-activities-multi-sports-cooking-performing-creative-arts-for-young-people-10-16-years
"Summer Activities: Mix of Sports and Arts","Finesse Foreva",,07955453183,james@104forever.co.uk,"Holiday & Respite","Under 16",,0,121,,,"SE25 6AB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/00bb8840-08da-11ed-98dd-7382982fd578/summer-activities-mix-of-sports-and-arts
"Summer Activities: Indoor and outdoor fun, 5 activities, trips and paintballing for ages 7  - 25","Off The Record - Youth Counselling Croydon",croydon@talkofftherecord.org,"020 8251 0251",croydon@talkofftherecord.org,"Holiday & Respite",,,0,116,,,"CR0 2PR","CR0 2PR",1,https://croydon.simplyconnect.uk/activities/74acf9d0-0396-11ed-b058-7fa78aea79a0/summer-activities-indoor-and-outdoor-fun-5-activities-trips-and-paintballing-for-ages-7-25
"Summer Activities: Holiday Club, cooking, drama, football, dance, media, basket ball and more for young people aged 8-12 years old","Legacy, Croydon Youth Zone",enquiries@legacyyouthzone.org,"020 3976 9990",enquiries@legacyyouthzone.org,"Holiday & Respite",,,0,175,,,"CR0 2LG","CR0 2LG",1,https://croydon.simplyconnect.uk/activities/d9d032e0-fdee-11ec-8afa-2b530faa5751/summer-activities-holiday-club-cooking-drama-football-dance-media-basket-ball-and-more-for-young-people-aged-8-12-years-old
"Summer Activities: Free Summer Fun, Sports and Activities for ages 10 - 13 years","Playplace Innov8 CIC",info@playplace.org,07788718678,chris.hennis@playplace.org,"Holiday & Respite","Under 16",,0,109,,,"CR0 3LF","CR0 9EP",1,https://croydon.simplyconnect.uk/activities/74c265e0-fdd9-11ec-970e-156e537e5dbe/summer-activities-free-summer-fun-sports-and-activities-for-ages-10-13-years
"Summer Activities: free sport and games @ Heavers Farm Primary","Palace for Life Foundation",admin@palaceforlife.org,,,"Holiday & Respite","Under 16",,0,254,,,"SE25 6PU","SE25 6PU",1,https://croydon.simplyconnect.uk/activities/83c499f0-03ba-11ed-b12f-cd93035d3be6/summer-activities-free-sport-and-games-at-heavers-farm-primary
"Summer Activities: Free Performing Arts & Art sessions for Young People aged 10 - 18","PJ's Community Services",admin@pjsgroup.co.uk,"020 8253 1275",admin@pjsgroup.co.uk,"Holiday & Respite",,,0,119,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/ca64a2c0-038c-11ed-9d56-7d0cb2fe322f/summer-activities-free-performing-arts-art-sessions-for-young-people-aged-10-18
"Summer Activities: Free Online Maths, English, Phonics, Essential Life Skills Tuition for 5 to 16-year-olds","Youngevity UK Ltd",info@youngevity.org.uk,"07472488499 or 07950778477",info@youngevity.org.uk,"Holiday & Respite",,,0,113,,,"N1 6DS","N1 6DS",1,https://croydon.simplyconnect.uk/activities/33aff350-fdf7-11ec-9a7d-73bbc04b7993/summer-activities-free-online-maths-english-phonics-essential-life-skills-tuition-for-5-to-16-year-olds
"Summer Activities: Family Summer Camp 2022","Go Wild With Us UK",gowildcroydon@gmail.com,"07729 769663",gowildcroydon@gmail.com,"Holiday & Respite","0-5, 16-21, 21-65, 50+, Under 16",,0,110,,,"CR0 9AA","CR2 6JJ",1,https://croydon.simplyconnect.uk/activities/33cbec50-fc69-11ec-99cd-ab34add64599/summer-activities-family-summer-camp-2022
"Summer Activities: Cooking and Gardening","Good Food Matters",enquiries@goodfoodmatters.org.uk,07715905033.,amanda@goodfoodmatters.org.uk,"Holiday & Respite","Under 16",,0,171,,,"CR0 0PN","CR0 0PN",1,https://croydon.simplyconnect.uk/activities/74ad15e0-fc6d-11ec-b7ac-4daac87cc1c6/summer-activities-cooking-and-gardening
"Summer Activities: Calling All Croydon Youth!  Free Yoga","Urban Yogis UK",info@urbanyogisuk.com,07583574288,info@urbanyogisuk.com,"Holiday & Respite",,,0,112,,,"SW16 3LX","SW16 3LX",1,https://croydon.simplyconnect.uk/activities/c43035a0-03ab-11ed-b14b-3d5ce52c92c4/summer-activities-calling-all-croydon-youth-free-yoga
"Summer Activities: Boxing and Martial Arts for Young People","Gloves Not Gunz",info@glovesnotgunz.com,07534363386,adam@glovesnotgunz.com,"Holiday & Respite",,,0,174,,,"SW16 3LY","SW16 3LY",1,https://croydon.simplyconnect.uk/activities/72663c70-fc72-11ec-89c5-2908347dea8c/summer-activities-boxing-and-martial-arts-for-young-people
"Summer Activities: Bee-keeping to bushcraft, crafts to campfires for Children and Families","Go Wild With Us UK",gowildcroydon@gmail.com,"07729 769663",gowildcroydon@gmail.com,"Holiday & Respite",,,0,153,,,"CR0 9AA","CR2 6JJ",1,https://croydon.simplyconnect.uk/activities/707d1cb0-fdea-11ec-87d9-97cc539c50e2/summer-activities-bee-keeping-to-bushcraft-crafts-to-campfires-for-children-and-families
"Summer Activities: Autistic/SEND school-aged children and young people (4 -16 years)",A2ndVoice,info@a2ndvoice.com,"0790 838 0415",Holidays@a2ndvoice.com,"Holiday & Respite",,,0,486,,,"CR0 0JB","SW16 4AQ",1,https://croydon.simplyconnect.uk/activities/554e4ab0-fdda-11ec-9617-d1fc75de0f27/summer-activities-autisticsend-school-aged-children-and-young-people-4-16-years
"Summer Activities: Arts, Sports and Science Fun Club for 5 - 14 year olds","Hillel Bright Futures Trust",enquiries@hillelbrightfuturestrust.com,02070627123,enquiries@hillelbrightfuturestrust.com,"Holiday & Respite",,,0,156,,,"CR3 5ED","CR0 2XX",1,https://croydon.simplyconnect.uk/activities/157b8180-fdfb-11ec-8568-4d16ac4e87d0/summer-activities-arts-sports-and-science-fun-club-for-5-14-year-olds
"Summer Activities: 5 Day Cooking Programme for Young People 16 - 30 years","Prince's Trust",,"0800 842842",Daniel.Dubier@princes-trust.org.uk,"Holiday & Respite",,,0,100,,,"SE1 8EG","SE1 8EG",1,https://croydon.simplyconnect.uk/activities/9c6a77b0-fdd3-11ec-94a9-ef270db0bbc9/summer-activities-5-day-cooking-programme-for-young-people-16-30-years
"Summer Activities : CYTO Summer Sizzle - Children & Young People Aged 8-19 years","Croydon Youth Theatre Organisation (CYTO)",admin@cyto.org.uk,"0208 655 1098",admin@cyto.org.uk,"Holiday & Respite","16-21, Under 16",,0,162,,,"SE25 4XG","SE25 4XG",1,https://croydon.simplyconnect.uk/activities/cd0d5200-fd1a-11ec-852f-b716e4aadced/summer-activities-cyto-summer-sizzle-children-young-people-aged-8-19-years
"Substance Abuse Advice and Information","Talk to FRANK",,,frank@talktofrank.com,"Alcohol & Substance Misuse","16-21, 21-65, 50+, Under 16",,0,324,,,"CR0 2TB","CR0 2",1,https://croydon.simplyconnect.uk/activities/53448ef0-442f-11ea-b96c-057e18e0bdeb/substance-abuse-advice-and-information
"Stress Awareness. Virtual Coffee Morning","Asian Resource Centre of Croydon",info@arccltd.com,"020 8684 3784",mamun.khan@arccltd.com,"Mental Health",,,0,37,,,,"CR0 2TB",1,https://croydon.simplyconnect.uk/activities/a05b07e0-92e2-11eb-843e-7b1b2723a6ef/stress-awareness-virtual-coffee-morning
"Storytime-South Norwood Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1021",southnorwoodlibrary@croydon.gov.uk,"Family Activities ",0-5,,2,211,,,"SE25 5AA","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/c27d9ae0-442f-11ea-926a-237106de8713/storytime-south-norwood-library
"Storytime-Sanderstead Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1015",sandersteadlibrary@croydon.gov.uk,"Family Activities ","0-5, Under 16",,0,248,,,"CR2 0HL","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/c1f91d00-442f-11ea-8be0-259a18e67c8c/storytime-sanderstead-library
"Storytime-Purley Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1013",Dabinder.chaudhri@croydon.gov.uk,"Family Activities ",0-5,,0,318,,,"CR8 3YH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/c188a940-442f-11ea-9119-9fdc90a75a52/storytime-purley-library
"Storytime-New Addington Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1009",chris.shields@croydon.gov.uk,"Family Activities ","Under 16",,0,201,,,"CR0 0JD","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/c112ad00-442f-11ea-9298-b9e2dd81921d/storytime-new-addington-library
"Storytime-Bradmore Green Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1003",susan.andrew@croydon.gov.uk,"Family Activities ",0-5,,0,207,,,"CR5 1PE","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/c09b5f50-442f-11ea-80ee-df3131be6e73/storytime-bradmore-green-library
"Story and Craft- Coulsdon","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1007",coulsdonlibrary@croydon.gov.uk,"Family Activities ","0-5, Under 16",,0,170,,,"CR5 2NH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/c018d9e0-442f-11ea-8f5c-9597440581f3/story-and-craft-coulsdon
"Step into Work - Croydon's Employability Event","Playplace Innov8 CIC",info@playplace.org,"01689 867366",info@playplace.org,"Employment, Skills & Enterprise ",,,0,88,,,"CR0 9EP","CR0 9EP",1,https://croydon.simplyconnect.uk/activities/df0a9160-66ef-11eb-9bff-730283bb4933/step-into-work-croydons-employability-event
"Staying Safe Online",ClearCommunityWeb,info@clearcommunityweb.co.uk,"07523 646 277",info@clearcommunityweb.co.uk,"Digital Inclusion",,,0,49,,,"SE19 1TQ","SE19 2TF",1,https://croydon.simplyconnect.uk/activities/fbb1a6c0-55e9-11ed-a032-ffd0706460ac/staying-safe-online
"Stay and Play-Thornton Heath Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1023",anne.pereira@croydon.gov.uk,"Family Activities ",0-5,,1,488,,,"CR7 7JB","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/bfaac290-442f-11ea-8b8c-0d7b6c578997/stay-and-play-thornton-heath-library
"Stay Active at Selhurst","Palace for Life Foundation",admin@palaceforlife.org,+447808323047,enricomontalvo@palaceforlife.org,"Exercise & Outdoor Activities","16-21, 21-65, 50+, Under 16",,0,320,,,"SE25 6PU","SE25 6PU",1,https://croydon.simplyconnect.uk/activities/c38d2cb0-cd2f-11eb-be42-cf5dae2c8c49/stay-active-at-selhurst
"Starting Up: How to Become a Charity or Social Enterprise","Croydon Voluntary Action",cva@cvalive.org.uk,"020 8843 7945",training@richmondcvs.org.uk,"Employment, Skills & Enterprise ",21-65,,0,21,,,,"CR0 2TB",1,https://croydon.simplyconnect.uk/activities/228ac880-0ef6-11ec-98e1-2ff1f52a5dcc/starting-up-how-to-become-a-charity-or-social-enterprise
"Stanley Arts","Croydon North East Local Community Partnership",,,,"Other - Social Groups & Activities",,,0,80,,,"SE25 6PP","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/2fe22d20-1251-11ed-b7cc-1983128d99a3/stanley-arts
"Stages Theatre Group","Reaching Higher",info@reachinghigher.org.uk,,info@reachinghigher.org.uk,"Youth Social Groups","Under 16",,0,501,,,"SE25 6AB","SE25 6ES",1,https://croydon.simplyconnect.uk/activities/37b90100-57c9-11ea-b6d6-b30a41e3f434/stages-theatre-group
"St Mildred's Parish Office","Croydon Central East Local Community Partnership",,,,"Faith Groups",,,0,81,,,"CR0 7EB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/d7b07340-01e7-11ed-86af-ebbcc56cd685/st-mildreds-parish-office
"St Mildred's Drop In - Hot Meal for homeless and needy (FB)","St Mildred's Parish Office",parishoffice@stmildredschurch.org.uk,"020 8655 1434",parishoffice@Stmildredschurch.org.uk,"Food Banks",,,0,703,,,"CR0 7EB","CR0 7EB",1,https://croydon.simplyconnect.uk/activities/310b4510-c4f3-11ea-943b-d1da74e69f11/st-mildreds-drop-in-hot-meal-for-homeless-and-needy-fb
"St Mildred's Church Choir","St Mildred's Parish Office",parishoffice@stmildredschurch.org.uk,"020 8655 1434",parishoffice@stmildredschurch.org.uk,"Social Groups","21-65, 50+, Under 16",,0,239,,,"CR0 7EB","CR0 7EB",1,https://croydon.simplyconnect.uk/activities/75606ec0-c2c1-11ea-b98e-0de91c39cd12/st-mildreds-church-choir
"St Matthew's Prayer Meetings","St Matthew's Church Croydon",churchadmin@stmatthew.org.uk,,churchadmin@stmatthew.org.uk,"Faith Groups",,,0,27,,,"CR0 5NQ","CR0 5NQ",1,https://croydon.simplyconnect.uk/activities/a06e6ff0-659b-11ed-a5ea-e35a5cfd6230/st-matthews-prayer-meetings
"St Matthew's Coffee Morning","St Matthew's Church Croydon",churchadmin@stmatthew.org.uk,,churchadmin@stmatthew.org.uk,"Other - Social Groups & Activities",,,0,115,,,"CR0 5NQ","CR0 5NQ",1,https://croydon.simplyconnect.uk/activities/83128a10-a6d2-11ec-b483-212ef02cb991/st-matthews-coffee-morning
"St Matthew's Church Croydon","Croydon Central West Local Community Partnership",,,,"Faith Groups",,,0,88,,,"CR0 5NQ","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/86018cc0-02b1-11ed-bb00-8312d7a96dee/st-matthews-church-croydon
"ST Matthew's 8.30am Service","St Matthew's Church Croydon",churchadmin@stmatthew.org.uk,,churchadmin@stmatthew.org.uk,"Faith Groups",,,0,105,,,"CR0 5NQ","CR0 5NQ",1,https://croydon.simplyconnect.uk/activities/f2c61b60-ab64-11ec-8c27-effa9f8424fd/st-matthews-830am-service
"St Matthew's 10am Service","St Matthew's Church Croydon",churchadmin@stmatthew.org.uk,,churchadmin@stmatthew.org.uk,"Faith Groups",,,0,102,,,"CR0 5NQ","CR0 5NQ",1,https://croydon.simplyconnect.uk/activities/39af2eb0-ab65-11ec-bee3-b16248f343c2/st-matthews-10am-service
"St Francis Monks Hill","Croydon South East Local Community Partnership",,,,"Faith Groups",,,0,56,,,"CR2 8AH","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/96b028e0-13d9-11ed-8e5b-fdcc74e55603/st-francis-monks-hill
"St Christopher's Hospice","Croydon Central East Local Community Partnership",,,,"Palliative Care",,,0,76,,,"SE26 6DZ","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/8c82ec10-029f-11ed-81a1-cdb9a67d4e1f/st-christophers-hospice
"St Christopher's Hospice","Croydon North West Local Community Partnership",,,,"Palliative Care",,,0,82,,,"SE26 6DZ","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/466b50c0-0d93-11ed-bce5-ebae7d2938db/st-christophers-hospice
