Activity Name,Service Provider Name,Service Provider Email Address,Contact Number,Contact Email,Category(s),Age Group(s),Reporting Region,Number of active referrals,Number of times details viewed,ICP,PCN,Activity Post Code,Service Provider Post Code,Active,Start Date,End Date,Link
Saturday Social Group,Multiple Sclerosis Society,,,saturdaymsgroupcroydon@gmail.com,Social Groups,"16-21, 21-65, 50+",,0,85,,,CR8 2BN,NW2 6ND,1,,,https://croydon.simplyconnect.uk/activities/b30477c0-442f-11ea-9922-376f347422e0/saturday-social-group
Saturday Club for disabled pupils from Croydon,The Garwood Foundation,fundraiser@garwoodfoundation.org.uk,0208 688 7560,headofschool@garwoodfoundation.org.uk,Disability,"0-5, 16-21, Under 16",,0,174,,,CR2 7HZ,CR2 7HZ,1,11/26/2020 0:00,,https://croydon.simplyconnect.uk/activities/ef40b9d0-2fe1-11eb-950d-313cd2d63493/saturday-club-for-disabled-pupils-from-croydon
Saturdads,Emmanuel Church,office@emmanuelcroydon.org.uk,2086886676,joanna.lines@emmanuelcroydon.org.uk,Family Activities ,,,0,63,,,CR2 7AQ,CR2 7AF,1,10/01/2022 00:00,,https://croydon.simplyconnect.uk/activities/a6ce32f0-5146-11ed-8136-3bdd431856bc/saturdads
Sana's Holistic Therapies,Croydon Voluntary Action - Waterside Centre,bookings@cvalive.org.uk,,,Health Improvement & Management,,,0,110,,,SE25 4DX,SE25 4DX,1,11/23/2022 0:00,,https://croydon.simplyconnect.uk/activities/32f1c520-6b36-11ed-a08f-9d3343c38d7f/sanas-holistic-therapies
Salvation House Christ Apostolic Church,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,(0)2031720574,info@cacsalvationhouse.org,Faith Groups,,,0,146,,,CR0 5NQ,CR0 5NQ,1,3/21/2022 0:00,,https://croydon.simplyconnect.uk/activities/02847c30-a6a8-11ec-b226-8bee1ddfc899/salvation-house-christ-apostolic-church
Safer Neighbourhoods Team - Addiscombe,Metropolitan Police Safer Neighbourhoods,,020 8721 2473,Addiscombe.snt@met.police.uk,Safety & Security,"16-21, 21-65, 50+",,0,426,,,CR0 6UU,CR0,1,,,https://croydon.simplyconnect.uk/activities/b18b1f60-442f-11ea-b9ec-677f6573d6bc/safer-neighbourhoods-team-addiscombe
Safebeds,Bromley and Croydon Women's Aid,info@bcwa.org.uk,020 8313 9303,management@bcwa.org.uk,Violence & Abuse,"16-21, 21-65, 50+",,0,295,,,SE20,CR0 2JB,1,,,https://croydon.simplyconnect.uk/activities/b0fd1180-442f-11ea-b30a-e9e71ecfbadf/safebeds
Rowland Brothers Foundation,Croydon South West Local Community Partnership,,07435 808 202,aftercare@rowlandbrothers.com,Counselling,,,0,245,,,CR0 2HR,CR0 2TB,1,3/31/2022 0:00,,https://croydon.simplyconnect.uk/activities/ddf99f80-b0e9-11ec-b729-ad74053abbb2/rowland-brothers-foundation
Rock and Rhyme-Selsdon,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1017,Isioma.kalanzi@croydon.gov.uk,Family Activities ,0-5,,0,226,,,CR2 8LA,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/b096d800-442f-11ea-bba0-5d312a64f91c/rock-and-rhyme-selsdon
Rock and Rhyme-Purley,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1013,Dabinder.chaudhri@croydon.gov.uk,Family Activities ,0-5,,0,252,,,CR8 3YH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/b0306cf0-442f-11ea-8a74-1d18e56b5295/rock-and-rhyme-purley
Rock and Rhyme-Coulsdon,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1007,coulsdonlibrary@croydon.gov.uk,Family Activities ,0-5,,0,216,,,CR5 2NH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/afcd72f0-442f-11ea-89d0-7d2b33a10447/rock-and-rhyme-coulsdon
Riddlesdown Residents Association,Croydon South West Local Community Partnership,,,,Wellbeing,,,0,184,,,CR8 1EW,CR0 2TB,1,3/31/2022 0:00,,https://croydon.simplyconnect.uk/activities/5a2f4760-b0e0-11ec-ae82-478c19dc48bd/riddlesdown-residents-association
Resources and information leaflets,St Christopher's Hospice,volunteering@stchristophers.org.uk,,info@stchristophers.org.uk,Palliative Care,"16-21, 21-65, 50+",,0,365,,,SE26 6DZ,SE26 6DZ,1,,,https://croydon.simplyconnect.uk/activities/af551be0-442f-11ea-9220-e9c386c1d1ce/resources-and-information-leaflets
Resilient Women Build Communities,Soul Purpose 360 CIC,,,,Other - Social Groups & Activities,,,0,46,,,CR0 2TB,CR3 6NP,1,02/07/2023 00:00,,https://croydon.simplyconnect.uk/activities/45c78bd0-a6e4-11ed-a38b-f55c1ee914b7/resilient-women-build-communities
Resilience building and life planning for young people,Noo Thinking,workingtogether@noothinking.co.uk,7754044373,workingtogether@noothinking.co.uk,"Employment, Skills & Enterprise ",16-21,,0,12,,,SE25 5RZ,SE25 5RZ,1,2/20/2022 0:00,11/30/2024 0:00,https://croydon.simplyconnect.uk/activities/6e924c30-867c-11ec-98f0-174e6845ff3e/resilience-building-and-life-planning-for-young-people
Residential Respite Break,Go Beyond,info@gobeyond.org.uk,,info@chicks.org.uk,Holiday & Respite,Under 16,,0,337,,,PL19 0LX,PL19 0LX,1,,,https://croydon.simplyconnect.uk/activities/aeed4600-442f-11ea-b5fe-2503b4cf05e7/residential-respite-break
Residential Recovery Project (Substance Misuse Service),The Nehemiah Project,enquiries@tnp.org.uk,2087737413,,Alcohol & Substance Misuse,"21-65, 50+",,0,87,,,CR0 2PP,SW16 1RF,1,02/09/2023 00:00,,https://croydon.simplyconnect.uk/activities/61582180-a874-11ed-ac81-39f64a111627/residential-recovery-project-substance-misuse-service
Residential Home for the Disabled,The Garwood Foundation,fundraiser@garwoodfoundation.org.uk,0208 681 7338,jgh@garwoodfoundation.org.uk,Disability,"16-21, 21-65, 50+",,0,211,,,CR2 6LX,CR2 7HZ,1,11/25/2020 0:00,,https://croydon.simplyconnect.uk/activities/730eee20-309b-11eb-8546-874919872944/residential-home-for-the-disabled
Resident Involvement,Addiscombe and Shirley Park Residents Association,secretary@aspra.uk,,secretary@theaspra.org.uk,Neighbourhood & Communities,"16-21, 21-65, 50+",,0,407,,,CR0,CR0,1,,,https://croydon.simplyconnect.uk/activities/ae7376f0-442f-11ea-afd1-35f0245addd3/resident-involvement
ReNew Addington (ReNA)  Community,Family Centre Fieldway,familycentre.fieldway@virgin.net,01689 844277,familycentre.fieldway@virgin.net,Neighbourhood & Communities,,,0,94,,,CR0 9AZ,CR0 9AZ,1,1/22/2023 0:00,,https://croydon.simplyconnect.uk/activities/e8b20ae0-9d9b-11ed-ab67-45be8cf69478/renew-addington-rena-community
Renew 121 Well-being Cafe,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,020 86813147,churchadmin@stmatthew.org.uk,Mental Health,,,0,151,,,CR0 5NQ,CR0 5NQ,1,5/16/2022 0:00,,https://croydon.simplyconnect.uk/activities/1481b060-cf73-11ec-bb85-b7aafbecb9c5/renew-121-well-being-cafe
Remote Individual Support,Studio Upstairs,southlondon@studioupstairs.org.uk,2086165440,southlondon@studioupstairs.org.uk,Health Improvement & Management,"16-21, 21-65, 50+",,0,608,,,CR0 1TT,CR0 1TT,1,,,https://croydon.simplyconnect.uk/activities/55444c70-442f-11ea-bb2f-8da6c6eb4117/remote-individual-support
Relaxation Class (Yoga),Go Wild With Us UK,gowildcroydon@gmail.com,7729769663,gowildcroydon@gmail.com,Exercise & Outdoor Activities,,,2,302,,,CR0 2TB,CR2 6JJ,1,2/17/2021 0:00,,https://croydon.simplyconnect.uk/activities/1bf83de0-710f-11eb-b90a-c54e1f35b00e/relaxation-class-yoga
Relaxation (Zoom),Mind in Croydon (Active Minds),activeminds@mindincroydon.org.uk,0208 2538205,activeminds@mindincroydon.org.uk,Mental Health,,,0,96,,,CR2 6EZ,CR2 6EZ,1,10/06/2022 00:00,,https://croydon.simplyconnect.uk/activities/5b0378d0-456e-11ed-94a5-75fda8fc68f4/relaxation-zoom
Rehabilitation,Croydon Vision,info@croydonvision.org.uk,020 8688 2486,info@croydonvision.org.uk,Independent Living,,,0,497,,,CR0 2AR,CR0 2AR,1,,,https://croydon.simplyconnect.uk/activities/ae1caf50-442f-11ea-a5d7-89c556330c5e/rehabilitation
Refugee Employment Support,Breaking Barriers,c.chapellelkin@breaking-barriers.co.uk,2045410155,enquiries@breaking-barriers.co.uk,"Employment, Skills & Enterprise ",,,0,218,,,WC2B 4HN,WC2B 4HN,1,02/10/2022 00:00,,https://croydon.simplyconnect.uk/activities/be7efc10-8a6f-11ec-a678-cdce46c6c6e3/refugee-employment-support
Refugee Befriending,HostNation,rossana@hostnation.org.uk,07811 132027,rossana@hostnation.org.uk,Befriending & Mentoring,,,0,383,,,CR0 2TB,CR0 2TB,1,2/17/2020 0:00,,https://croydon.simplyconnect.uk/activities/02766150-57eb-11ea-ab96-05d04b5dc7f9/refugee-befriending
Refugee and Befriending youth group,British Red Cross HQ,contactus@redcross.org.uk,7852504902,meganwright@redcross.org.uk,Youth Social Groups,16-21,,0,205,,,CR0 2TB,EC2Y 9AL,1,1/29/2022 0:00,,https://croydon.simplyconnect.uk/activities/7fb133a0-72fd-11ec-af51-47d2a5215d1f/refugee-and-befriending-youth-group
Refuge Accommodation,Bromley and Croydon Women's Aid,info@bcwa.org.uk,2083139303,management@bcwa.org.uk,Violence & Abuse,"16-21, 21-65, 50+",,0,332,,,SE20,CR0 2JB,1,,,https://croydon.simplyconnect.uk/activities/acb65400-442f-11ea-ae23-d5ef8dc9227a/refuge-accommodation
Reading groups-South Norwood,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1021,jane.copper@croydon.gov.uk,Library & Reading Groups,"21-65, 50+",,0,193,,,SE25 5AA,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/ac4a7960-442f-11ea-bd48-d92534685924/reading-groups-south-norwood
Reading groups-Purley,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1013,Dabinder.chaudhri@croydon.gov.uk,Library & Reading Groups,"21-65, 50+",,0,214,,,CR8 3YH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/abcb58a0-442f-11ea-8d19-9dd8aa583b4b/reading-groups-purley
Reading groups-Bradmore Green,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1003,susan.andrew@croydon.gov.uk,Library & Reading Groups,"21-65, 50+",,0,227,,,CR5 1PE,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/ab5dd360-442f-11ea-bf06-b7ab279a9ada/reading-groups-bradmore-green
Reading group-Coulsdon,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1007,Fiona.philips@croydon.gov.uk,Library & Reading Groups,"21-65, 50+",,0,231,,,CR5 2NH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/aa800b60-442f-11ea-bf91-e77258117dfd/reading-group-coulsdon
Read and Relax: Shirley Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0151 7292200,michaelahall@thereader.org.uk,Hobbies & Interests,"16-21, 21-65, 50+",,0,205,,,CR0 8BH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/a9925180-442f-11ea-98a0-23c4fafc3fc6/read-and-relax-shirley-library
Read and Relax: Shirely Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0151 7292200,michaelahall@thereader.org.uk,Hobbies & Interests,"16-21, 21-65, 50+",,0,203,,,CR0 8BH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/a916f0b0-442f-11ea-a92b-85b05484b0ea/read-and-relax-shirely-library
Re-engage,Croydon North West Local Community Partnership,,,,Other - Social Groups & Activities,,,0,125,,,SW1W 0DH,CR0 2TB,1,7/28/2022 0:00,,https://croydon.simplyconnect.uk/activities/c91e45b0-0e67-11ed-8a96-a5dcf823ce19/re-engage
Raising Up Role Models,Progression And Development Ltd,padacademy@live.co.uk,7860121333,padacademy@live.co.uk,Education ,21-65,,0,29,,,CR0 3BJ,CR0 3BJ,1,04/04/2022 00:00,,https://croydon.simplyconnect.uk/activities/8ee793c0-ae2c-11ec-a25f-db7ed74106c2/raising-up-role-models
Rainbows,Girlguiding Croydon,cc@girlguidingcroydon.org.uk,7960034404,growguidingcroydon@gmail.com,Hobbies & Interests,Under 16,,0,105,,,SW1W 0PT,SW1W 0PT,1,,,https://croydon.simplyconnect.uk/activities/aa7e97f0-4df4-11ea-aafb-8b5a5cdd3c9d/rainbows
Rainbow Reading,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1034,Beverley.pates@croydon.gov.uk,Hobbies & Interests,"16-21, 21-65, 50+",,0,226,,,CR9 1ET,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/a8210440-442f-11ea-8209-330c43d2b3de/rainbow-reading
Purley Rotary,Croydon South West Local Community Partnership,,020 8651 1829,info@purleyrotary.com,Community Centres,,,0,340,,,CR8 3PF,CR0 2TB,1,04/05/2022 00:00,,https://croydon.simplyconnect.uk/activities/77f82dc0-b4f0-11ec-92c9-ff8a9c0fe674/purley-rotary
Purley Masjid,Croydon South West Local Community Partnership,,07982 446062,management@purleymasjid.com,Faith Groups,,,0,139,,,CR8 2AZ,CR0 2TB,1,3/31/2022 0:00,,https://croydon.simplyconnect.uk/activities/e2710c00-b0e4-11ec-bad6-cdff6ed3695d/purley-masjid
Purley Food Stop - Social Supermarket,Croydon South West Local Community Partnership,,2086686260,foodstop@ollbc.org.uk,Food Banks,"16-21, 21-65, 50+",,0,340,,,CR8 4BQ,CR0 2TB,1,3/31/2022 0:00,,https://croydon.simplyconnect.uk/activities/86711430-b0e6-11ec-8477-fbb7bf28a9bc/purley-food-stop-social-supermarket
Purley Food Hub,Croydon South West Local Community Partnership,,7546635295,pfhchairoftrustees@pfoodhub.uk,Food Banks,"16-21, 21-65, 50+",,0,315,,,CR8 2LN,CR0 2TB,1,3/31/2022 0:00,,https://croydon.simplyconnect.uk/activities/7ec5a450-b0e8-11ec-86ee-b9114fc3ee2c/purley-food-hub
Purley Cross Centre,Croydon South West Local Community Partnership,,020 8668 0422,office@purleybaptist.org,Community Centres,,,0,169,,,CR8 3EA,CR0 2TB,1,04/05/2022 00:00,,https://croydon.simplyconnect.uk/activities/2279e200-b4e5-11ec-b9e4-47f0ddb4f893/purley-cross-centre
Purley Baptist Church,Croydon South West Local Community Partnership,,,,Faith Groups,"16-21, 21-65, 50+",,0,141,,,CR8 3EA,CR0 2TB,1,3/31/2022 0:00,,https://croydon.simplyconnect.uk/activities/414514f0-b0e2-11ec-8821-df11f6157271/purley-baptist-church
Purley and Woodcote Residents Association,Croydon South West Local Community Partnership,,,secretary@pwra.co.uk,Other - Social Groups & Activities,,,0,197,,,CR0 2TB,CR0 2TB,1,3/29/2022 0:00,,https://croydon.simplyconnect.uk/activities/01f32ee0-af71-11ec-93c5-2968f558707c/purley-and-woodcote-residents-association
Purely and Coulsdon Clubs for the Elderly (PACE),Croydon South West Local Community Partnership,,020 8668 2270,PACE119@btinternet.com,Day Centres,50+,,0,595,,,CR0 6PD,CR0 2TB,1,04/05/2022 00:00,,https://croydon.simplyconnect.uk/activities/af17f020-b4dd-11ec-887c-1b3dc76d80f6/purely-and-coulsdon-clubs-for-the-elderly-pace
Public Healing Clinic,Croydon Healing Clinic,info@croydonhealingclinic.org.uk,020 8688 1751,info@croydonhealingclinic.org.uk,Wellbeing,"16-21, 21-65, 50+, Under 16",,0,190,,,CR0 1BD,CR2 7DX,1,,,https://croydon.simplyconnect.uk/activities/a7a40d30-442f-11ea-8f63-fd268ff010b6/public-healing-clinic
Pub Night,Croydon Mencap,info@croydonmencap.org.uk,0208 8684 5890 / 07510593236,yvonne@croydonmencap.org.uk,Social Groups,,,0,224,,,CR0 6BR,CR7 7HU,1,,,https://croydon.simplyconnect.uk/activities/a74e5630-442f-11ea-9847-8ded370e1b88/pub-night
Provision of GP Partnership Tool and tutorial video and Welderlies Fun Health events,Wellbeing You Ltd,swk@wellbeingyou.org,07870 508790,info@wellbeingyou.org,Health Improvement & Management,"50+, Under 16",,0,150,,,CR0 4WF,CR0 4WF,1,11/25/2020 0:00,,https://croydon.simplyconnect.uk/activities/7a955f70-2f38-11eb-b77c-835c35822834/provision-of-gp-partnership-tool-and-tutorial-video-and-welderlies-fun-health-events
Project Search Sutton,Orchard Hill College,enquiries@orchardhill.ac.uk,0345 402 0453,assessments&placements@orchardhill.ac.uk,Education ,,,0,118,,,SM2 5AS,SM2 5AS,1,05/12/2022 00:00,,https://croydon.simplyconnect.uk/activities/b9f84520-d1da-11ec-bd38-e998102935c0/project-search-sutton
Priscilla’s Tea Room,Croydon South West Local Community Partnership,,0783771 457,priscillastearoom@outlook.com,"Employment, Skills & Enterprise ","16-21, 21-65, 50+",,0,371,,,CR2 9EA,CR0 2TB,1,3/31/2022 0:00,,https://croydon.simplyconnect.uk/activities/af546960-b0e1-11ec-bf0e-2babb08d6c9f/priscillas-tea-room
Preparation for Employment,Orchard Hill College,enquiries@orchardhill.ac.uk,0345 402 0453,assessments&placements@orchardhill.ac.uk,Education ,,,0,144,,,SM2 5AS,SM2 5AS,1,05/12/2022 00:00,,https://croydon.simplyconnect.uk/activities/e771ef20-d1dc-11ec-afb1-a32da461b23e/preparation-for-employment
PPG Committee for Old Coulsdon Medical Practice,Croydon South West Local Community Partnership,,01737 558288,,Health Improvement & Management,,,0,154,,,CR5 1HF,CR0 2TB,1,04/05/2022 00:00,,https://croydon.simplyconnect.uk/activities/c2927e70-b4ea-11ec-9d94-bb3d1dbc3673/ppg-committee-for-old-coulsdon-medical-practice
Pottery Workshops,Croydon Mencap,info@croydonmencap.org.uk,0208 8684 5890 / 07510593236,yvonne@croydonmencap.org.uk,Arts & Crafts,,,0,218,,,SW4 0DZ,CR7 7HU,1,,,https://croydon.simplyconnect.uk/activities/a6fcc1c0-442f-11ea-b365-cb576aaab72c/pottery-workshops
Pottery,Croydon Vision,info@croydonvision.org.uk,020 8688 2486,info@croydonvision.org.uk,Arts & Crafts,"21-65, 50+",,0,488,,,CR0 2AR,CR0 2AR,1,,,https://croydon.simplyconnect.uk/activities/a62e9550-442f-11ea-a91a-ad359cb07911/pottery
Play Place After School Club,Playplace Innov8 CIC,info@playplace.org,07908 245625,info@playplace.org,Youth Social Groups,Under 16,,0,356,,,CR8 2LN,CR0 9EP,1,,,https://croydon.simplyconnect.uk/activities/a571a040-442f-11ea-9e2f-f931f62155c1/play-place-after-school-club
Place 2 Be Café,Croydon South West Local Community Partnership,,0208 763 9991,placetobestmarks@gmail.com,Carers ,"16-21, 21-65, 50+",,0,168,,,CR8 3QQ,CR0 2TB,1,01/07/2022 00:00,,https://croydon.simplyconnect.uk/activities/64b496c0-b0de-11ec-a4e9-533e33ef1498/place-2-be-cafe
PKC Academy Football Scheme,PKC Academy,Cfoster86pkc@outlook.com,7885683334,pkcacademy1@outlook.com,Exercise & Outdoor Activities,"16-21, Under 16",,0,256,,,SE25 5PH,SE25 5PH,1,10/20/2018 0:00,,https://croydon.simplyconnect.uk/activities/18e5e130-8a5c-11ec-a926-db166948b1fe/pkc-academy-football-scheme
PKC Academy Football Scheme,My Ends Partnership,Shalina.Alabaksh@cvalive.org.uk,7885683334,pkcacademy1@outlook.com,Exercise & Outdoor Activities,"16-21, Under 16",,0,341,,,SE255PH,CR0 2TB,1,10/20/2018 0:00,,https://croydon.simplyconnect.uk/activities/a8d0fc80-8a66-11ec-b833-1b9110d04bd8/pkc-academy-football-scheme
Pilates In Nature with Sandra,MHA Communities South London,katharine.stubbs@mha.org.uk,7597135220,southlondon@mha.org.uk,Wellbeing,50+,,0,170,,,CR9 5AL,CR9 5AL,1,8/16/2022 0:00,,https://croydon.simplyconnect.uk/activities/1cf8f140-126c-11ed-8675-99e1302ee1a0/pilates-in-nature-with-sandra
Pilates,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,7568338204,sallyditzel1960@gmail.com,"Exercise & Outdoor Activities, Exercise & Outdoor Activities",,,0,278,,,CR0 5NQ,CR0 5NQ,1,04/01/2021 00:00,,https://croydon.simplyconnect.uk/activities/53e618b0-a6a7-11ec-9f69-ab4ee2565fe0/pilates
Personal Safety and Falls Prevention,Age UK Croydon,aukc@ageukcroydon.org.uk,020 8686 0066,personalsafetyproject@ageukcroydon.org.uk,Independent Living,50+,,0,452,,,CR7 7JH,CR7 7DG,1,01/01/2020 00:00,,https://croydon.simplyconnect.uk/activities/e58adab0-2d84-11eb-ac18-b1e7b3839bc9/personal-safety-and-falls-prevention
Peer Mentoring - 18-21 Ladies,Ashdon Jazz Academy,ashdonjazzacademy@yahoo.co.uk,07949875605/02087669285,ashdonjazzacademy@yahoo.co.uk,Befriending & Mentoring,,,0,195,,,SE27 0HY,CR4 3UD,1,9/24/2020 0:00,,https://croydon.simplyconnect.uk/activities/90016be0-fd93-11ea-a876-df1afcd90e7a/peer-mentoring-18-21-ladies
"Peaced Together - Fairchildes, New Addington",Croydon Council - Best Start,croydonbeststart@croydon.gov.uk,01689 847136,childrenscentre@fairchildes.croydon.sch.uk,Family Activities ,0-5,,0,391,,,CR0 0RJ,CR0 1EA,1,,,https://croydon.simplyconnect.uk/activities/a3771bf0-442f-11ea-b11e-a78da6253107/peaced-together-fairchildes-new-addington
Pathway to Employment,Orchard Hill College,enquiries@orchardhill.ac.uk,0345 402 0453,assessments&placements@orchardhill.ac.uk,Education ,,,0,108,,,SM2 5AS,SM2 5AS,1,05/12/2022 00:00,,https://croydon.simplyconnect.uk/activities/75554b90-d1d9-11ec-9701-25b752434a55/pathway-to-employment
Pass Plus,QEF Mobility Services,transporthubproject@qef.org.uk,020 8770 1151,mobility@qef.org.uk,Transport & Mobility,"16-21, 21-65, 50+",,0,390,,,SM5 4AW,SM5 4AW,1,,,https://croydon.simplyconnect.uk/activities/a29c51d0-442f-11ea-bad7-eb7dc9baf31d/pass-plus
Parkinson's Dance and Movement Class,Parkinson's UK,lcecile@parkinsons.org.uk,07887 781 361,gemma@slidedance.org,Exercise & Outdoor Activities,,,0,292,,,CR8 2LN,SW1V 1EJ,1,03/05/2020 00:00,,https://croydon.simplyconnect.uk/activities/3555e8e0-6381-11ea-a5a8-bbaa20cebb4f/parkinsons-dance-and-movement-class
Parents in Partnership @ Croydon Mencap for parent carers of children / young people with SEND aged 0-25,Croydon Mencap,info@croydonmencap.org.uk,020 8684 5890,info@croydonmencap.org.uk,Carers ,"0-5, 16-21",,0,382,,,CR7 7HU,CR7 7HU,1,04/01/2021 00:00,,https://croydon.simplyconnect.uk/activities/7bb2fb60-2a8d-11ec-89b5-df6d054f3365/parents-in-partnership-at-croydon-mencap-for-parent-carers-of-children-young-people-with-send-aged-0-25
